serial_no,h1_cd,h2_cd,h3_cd,td_desc,mark_id_char
87643300,3,"30,103,090,313","30,104,030,906,031,300","the mark consists of a drawing of a sleeping kitty curled in a ball with a paw over one eye, with the design of two paw prints and a mouse.  kittens; domestic cats; cats in the nature of housecats    stylized felines, including cats of any size    guinea pigs; gerbils; chinchillas; mice and related small rodents; hamsters; rats; moles; mouse    foot and paw prints of animals not including those from humans or birds; paw prints; feet of animals other than birds; claws of animals other than birds; paws; scratch marks from claws and nails",
87643374,19,1909,190903,"the mark consists of a three dimensional configuration of a bottle with a square base and sides that taper in then flare out at the bottom. the bottle also features a raised design of an arch on one of the four sides of the bottle.  jars with straight or vertical sides; bottles, jars or flasks with straight, vertical sides; flasks with straight or vertical sides",
87644836,"15,29","15,012,903","150,125,290,306","the mark consists of the color green as applied to parts of the housing of a juice extracting machine. the dotted outline of the goods is intended to show the position of the mark on the goods and is not a part of the mark.  trash compactors, industrial; robots, industrial; pumps, air (motorized); fulcrums; door closers; compactors, industrial and commercial; air pumps, motorized    green (single color used on a portion of the goods)",
87645122,"02,26","2,112,609","21,107,260,921","the mark consists of a white cartoon-like hand on a red background, with thumb on the left and the hand is slanted to the left, with the fingers equally spaced apart such that the red background forms three parallel lines between the fingers. the color red is used for purposes of contrast, represents background, and is claimed as a feature of the mark. the square shape of the red background color is intended to show the position of the color around the white cartoon-like hand, and the square shape forms no part of the mark serving as positional reference only.  human hands, fingers, arms; hands; fingers; arms    squares that are completely or partially shaded",
87646235,28,2801,280103,"the mark consists of the two chinese characters ""tai"" and ""zi"".  japanese characters; japanese and chinese characters; chinese characters",
87647004,3,307,"30,709,030,724",the mark consists of a silhouette of a pig.  pigs; hogs; boars; sows in the nature of pigs; swine    stylized pigs and boars    stylized goats and sheep,
87647206,"02,21","2,112,103","21,102,210,324","the mark consists of a stylized eye design with a target in the middle on a square background design with rounded corners.the black color of the background on the drawing represents background, outlining, shading, and/or transparent areas and is not part of the mark.  iris (eye); human eyes; eyes, human    targets with crosshairs; targets with alignment guides",
87647378,14,"14,011,403","140,106,140,305","the mark consists of a design depicting an iron rod featuring a ball and spear head on each end. below the iron rod and appended at its center is an arched iron rod featuring a spear head at each end.  girders, rods, rails    door hardware (knockers, knobs, etc.); handles (door)",
87648251,3,301,"30,101,030,116","the mark consists of a stylized design of a lion's head.  lions    heads of felines, including cats of any size    stylized felines, including cats of any size",
87650758,"02,09,26","20,109,032,601","20,101,020,131,090,300,000,000","the mark consists of a circle with a cartoon/outline figure of a male in the interior of the circle from the chest up with a collared shirt.  portraiture of men facing forward; men heads, portraiture, or busts facing forward; heads of men facing forward; busts of men facing forward    men, stylized, including men depicted in caricature form    tank tops; sweatshirts; camisoles; shirts; jerseys; exercise clothes, sweatshirts    plain single line circles; circles, plain single line",
87650802,"03,05","3,010,505","30,116,030,124,050,500","the mark consists of a stylized lion head with roses around the face in lieu of a mane.  costumed felines and those with human attributes, including cats of all sizes    roses",
